,EntrySeconds,AllExchangesVolume,NetProfit,new
17,236.278,5222536,-288,0:05
193,124.546,209030,34,0:05
659,131.8,212621,-630,0:05
722,98.40899999999999,1098608,102,0:05
808,153.255,1339824,2230,0:05
1039,68.72,470936,-648,0:05
1099,211.699,444078,-700,0:05
1106,155.3,398435,-184,0:05
1270,28.261999999999997,343748,-2998,0:05
1271,28.261999999999997,343748,-2998,0:05
1312,237.169,297965,40,0:05
1317,232.011,297165,34,0:05
1331,259.347,142725,-110,0:05
1432,167.298,905480,-1150,0:05
