,EntrySeconds,AllExchangesVolume,NetProfit,new
46,378.774,673208,14,0:04
48,413.52,530478,14,0:04
56,234.75799999999998,289339,-620,0:04
64,404.288,201639,30,0:04
96,417.273,713772,-176,0:04
118,251.858,560418,188,0:04
344,272.742,465660,230,0:04
524,244.66299999999998,473323,-1584,0:04
720,149.178,249677,1026,0:04
721,149.72899999999998,250400,896,0:04
862,266.659,269099,1174,0:04
942,241.69400000000002,633547,50,0:04
1309,131.562,158709,-330,0:04
1318,294.711,275524,280,0:04
1319,300.16,277142,280,0:04
1332,337.176,271090,-220,0:04
1608,132.217,261191,-1780,0:04
1686,181.263,2761322,262,0:04
1723,197.487,101984,-320,0:04
1759,71.204,113583,-5800,0:04
1838,323.861,270327,-250,0:04
1844,198.13,181137,-142,0:04
1852,70.143,107192,124,0:04
1879,70.719,307280,-3000,0:04
2079,261.53700000000003,115923,-284,0:04
2153,174.428,992690,368,0:04
2208,222.456,352167,-1050,0:04
2209,222.456,352167,-1050,0:04
2448,137.153,277079,1160,0:04
2635,363.093,276283,-100,0:04
2686,107.10799999999999,1858456,528,0:04
2774,107.26100000000001,274121,408,0:04
